epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8861,3.09602,18.8145,0.97778,0.25523,0.13861,0.14836,0.04037,2.87224,9.02081,0.89419,0.000660436,0.000660436,0.000660436
2,35.8479,3.15371,11.0688,0.9029,0.07935,0.43564,0.05051,0.01479,2.91354,28.5171,0.87838,0.00131834,0.00131834,0.00131834
3,54.3652,3.00655,9.35408,0.90092,0.87523,0.55566,0.674,0.21875,2.52819,4.1302,0.84268,0.00196745,0.00196745,0.00196745
4,71.2029,2.97866,7.5963,0.87141,0.59948,0.55446,0.53156,0.17871,2.80911,2.84447,0.86202,0.0019604,0.0019604,0.0019604
5,87.6391,2.84158,5.62781,0.88544,0.0469,0.68317,0.04176,0.01558,2.41894,140.679,0.85695,0.0019472,0.0019472,0.0019472
6,103.693,2.77662,4.51258,0.85645,0.59157,0.60396,0.58511,0.19459,2.5334,2.68422,0.84393,0.001934,0.001934,0.001934
7,119.803,2.69145,3.7552,0.84672,0.88866,0.69307,0.74353,0.2912,2.40697,2.46597,0.84682,0.0019208,0.0019208,0.0019208
8,136.225,2.83681,3.53412,0.85848,0.69258,0.77228,0.75074,0.28578,2.33359,1.14994,0.83771,0.0019076,0.0019076,0.0019076
9,152.599,2.71701,2.98581,0.86368,0.71929,0.59406,0.62867,0.23022,2.58026,1.0549,0.84595,0.0018944,0.0018944,0.0018944
10,169.203,2.77042,2.67522,0.8538,0.64499,0.65347,0.59734,0.18109,2.7897,1.12091,0.87159,0.0018812,0.0018812,0.0018812
11,185.673,2.68491,2.29163,0.84613,0.74729,0.64356,0.63882,0.1849,2.89159,1.15617,0.86724,0.001868,0.001868,0.001868
12,201.81,2.52222,2.09101,0.83604,0.87722,0.68317,0.76253,0.2448,2.46261,1.09885,0.83752,0.0018548,0.0018548,0.0018548
13,218.688,2.47849,1.93327,0.84018,0.84437,0.73267,0.77972,0.30386,2.25318,1.02087,0.83473,0.0018416,0.0018416,0.0018416
14,235.958,2.52711,1.807,0.84509,0.74825,0.75248,0.73466,0.27788,2.46463,1.14202,0.8393,0.0018284,0.0018284,0.0018284
15,252.242,2.46904,1.78217,0.8236,0.79836,0.70297,0.75567,0.28146,2.47799,1.01378,0.84892,0.0018152,0.0018152,0.0018152
16,268.173,2.50409,1.60161,0.8329,0.8151,0.74202,0.72326,0.27154,2.47893,0.94894,0.84374,0.001802,0.001802,0.001802
17,284.499,2.47695,1.55377,0.83024,0.80041,0.74257,0.75132,0.25693,2.3512,0.99121,0.8354,0.0017888,0.0017888,0.0017888
18,300.886,2.56744,1.53878,0.83738,0.86833,0.78354,0.84154,0.35084,2.15632,0.85886,0.83781,0.0017756,0.0017756,0.0017756
19,317.028,2.53045,1.44912,0.84296,0.70004,0.63366,0.61254,0.17897,2.88999,1.09479,0.8676,0.0017624,0.0017624,0.0017624
20,333.243,2.49384,1.45918,0.83305,0.86972,0.65347,0.78964,0.33874,2.12437,1.07729,0.82855,0.0017492,0.0017492,0.0017492
21,349.516,2.3874,1.34761,0.79578,0.89603,0.77228,0.80053,0.33255,2.2315,0.91656,0.84003,0.001736,0.001736,0.001736
22,366.012,2.49094,1.34398,0.82783,0.91683,0.79208,0.8428,0.32225,2.22997,0.84272,0.82636,0.0017228,0.0017228,0.0017228
23,382.288,2.39609,1.23188,0.79726,0.87701,0.77665,0.8295,0.30485,2.2978,0.8739,0.82506,0.0017096,0.0017096,0.0017096
24,398.793,2.35069,1.23925,0.82438,0.89312,0.82739,0.86308,0.35072,2.18085,0.84107,0.82917,0.0016964,0.0016964,0.0016964
25,415.171,2.32935,1.26541,0.79856,0.92665,0.81188,0.88723,0.35646,2.21486,0.86021,0.82963,0.0016832,0.0016832,0.0016832
26,431.614,2.28988,1.21313,0.81067,0.91086,0.75248,0.82687,0.33486,2.2039,0.89976,0.82819,0.00167,0.00167,0.00167
27,448.024,2.44314,1.21668,0.81254,0.92287,0.82931,0.8751,0.39251,2.03104,0.834,0.82175,0.0016568,0.0016568,0.0016568
28,463.999,2.32578,1.14789,0.81421,0.91554,0.85864,0.89698,0.3308,2.26912,0.80303,0.82918,0.0016436,0.0016436,0.0016436
29,480.303,2.38472,1.12885,0.80667,0.81562,0.74456,0.81779,0.35515,2.1909,0.88162,0.82469,0.0016304,0.0016304,0.0016304
30,496.396,2.30273,1.14974,0.80693,0.91631,0.80198,0.86503,0.38237,2.16552,0.88377,0.82923,0.0016172,0.0016172,0.0016172
31,512.844,2.3972,1.19035,0.80144,0.78731,0.80633,0.80345,0.32013,2.24869,0.89595,0.82967,0.001604,0.001604,0.001604
32,528.783,2.35214,1.11823,0.77824,0.90447,0.79208,0.84425,0.38454,2.05159,0.85553,0.8223,0.0015908,0.0015908,0.0015908
33,545.259,2.38978,1.11709,0.81256,0.87892,0.79057,0.85098,0.36042,2.03563,0.92546,0.81905,0.0015776,0.0015776,0.0015776
34,562.038,2.28843,1.05246,0.82779,0.901,0.81095,0.84732,0.34474,2.04781,0.86974,0.81733,0.0015644,0.0015644,0.0015644
